world_rank,word_rank_2,university_name,country,teaching,international,research,citations,income,total_score,num_students,student_staff_ratio,international_students,female_male_ratio,year,continent
48,48,LMU Munich,Germany,65.4,54.7,66.5,85.5,42,70.4,"35,691",15.5,13%,62:38:00,2013,Europe
49,49,University of Manchester,United Kingdom,65.9,77.9,67.7,76.9,43.2,70.1,"34,938",15.3,34%,52:48:00,2013,Europe
50,50,Pohang University of Science and Technology,South Korea,63.9,28.8,63.9,88.2,100,69.4,"3,055",10.1,4%,0.888888889,2013,Asia
51,51,Brown University,United States of America,63.7,36.9,60.3,94.1,29.9,68.9,"8,653",10.1,19%,,2013,North America
52,52,Tsinghua University,China,74.5,37.2,76.4,55.2,99.2,67.1,"39,763",13.7,10%,32 : 68,2013,Asia
53,53,Ohio State University,United States of America,66.7,46.3,60.9,80.1,49.5,67,"51,462",13.4,12%,49:51:00,2013,North America
54,54,Boston University,United States of America,65.4,39.2,50.9,94.2,30.6,66.8,"24,789",8.6,17%,58:42:00,2013,North America
54,55,Kyoto University,Japan,77.1,26.3,74.8,57.8,76.4,66.8,"22,809",5.6,7%,,2013,Asia
56,56,University of Southern California,United States of America,68.4,43.4,57.1,81.9,33.5,66.3,"36,534",12.9,20%,52:48:00,2013,North America
57,57,Kingâ€™s College London,United Kingdom,53.5,86,59.3,82.8,42.4,66.2,"21,394",11.4,37%,61:39:00,2013,Europe
58,58,KU Leuven,Belgium,59.7,56.6,71,67.2,99.7,66.1,"42,503",41.9,18%,54:46:00,2013,Europe
59,59,Seoul National University,South Korea,76.7,27,81.4,48,81.7,65.9,"26,389",13.9,10%,,2013,Asia
59,60,Ã‰cole Normale SupÃ©rieure,France,61.6,67.3,46.9,90.3,47.2,65.9,"2,400",7.9,20%,46:54:00,2013,Europe
61,61,Pennsylvania State University,United States of America,55,34.9,69.2,81.4,59.7,65.8,"44,501",12.4,12%,46:54:00,2013,North America
62,62,University of Sydney,Australia,59.5,83,70.1,62.9,69.2,65.7,"41,868",20.2,28%,57:43:00,2013,Oceania
62,63,Ã‰cole Polytechnique,France,56.5,83,54.7,80.7,75.8,65.7,"2,429",4.8,30%,0.806944444,2013,Europe
64,64,Leiden University,Netherlands,54,54.8,67.1,78.4,46.1,65.1,"21,222",17.1,10%,59:41:00,2013,Europe
65,65,Hong Kong University of Science and Technology,Hong Kong,56.9,78.1,64.6,68.9,55.6,64.4,"11,385",23.8,36%,,2013,Asia
65,66,The University of Queensland,Australia,54.4,77.8,66.1,69.6,64,64.4,"34,718",32.7,27%,53:47:00,2013,Oceania
67,67,Utrecht University,Netherlands,48,47.3,64.7,82.4,82.6,64.1,"30,779",15.4,7%,59:41:00,2013,Europe
68,68,Korea Advanced Institute of Science and Technology (KAIST),South Korea,69.9,31.1,68.9,58.4,100,64,"9,027",10,9%,0.888888889,2013,Asia
69,69,Purdue University,United States of America,59.8,54.8,71.9,63.1,-,63.8,"39,256",18.1,22%,42:58:00,2013,North America
70,70,University of GÃ¶ttingen,Germany,50,51,52.5,92.5,34.4,63.2,"25,581",25.6,12%,51:49:00,2013,Europe
70,71,Wageningen University and Research Center,Netherlands,54.9,79.2,53.7,73.8,100,63.2,"9,248",17,21%,56:44:00,2013,Europe
72,72,Erasmus University Rotterdam,Netherlands,44.5,62.8,64.1,80.2,62,62.9,"20,580",18.9,18%,48:52:00,2013,Europe
72,73,University of Massachusetts,United States of America,57.1,31.7,62.6,77.8,52.8,62.9,"56,959",13,11%,49:51:00,2013,North America
74,74,University of Bristol,United Kingdom,50.1,71.9,51.7,85.4,38.7,62.5,"17,906",14,25%,53:47:00,2013,Europe
75,75,Rice University,United States of America,49.5,59,39.3,100,36.5,62,"6,333",9,26%,44:56:00,2013,North America
76,76,University of Pittsburgh,United States of America,54.6,29.4,55.1,85.2,39.3,61.7,"26,485",5.8,10%,51:49:00,2013,North America
77,77,Delft University of Technology,Netherlands,59.9,67.7,75.1,45.1,99.9,61.6,"15,920",19.4,25%,26 : 74,2013,Europe
78,78,Heidelberg University,Germany,61.4,61.3,49,75.5,40.7,61.4,"28,881",24.5,17%,55:45:00,2013,Europe
79,79,Emory University,United States of America,56.7,36.6,44.4,90.9,38.3,61.3,"12,338",4.5,18%,56:44:00,2013,North America
80,80,Durham University,United Kingdom,42.3,77.7,44.5,93.3,34.3,60.7,"15,489",15.7,24%,54:46:00,2013,Europe
81,81,Pierre and Marie Curie University,France,59.2,64.4,43.5,80.6,28.6,60.5,"27,862",8.7,18%,48:52:00,2013,Europe
82,82,Lund University,Sweden,43.6,64.4,61.3,77.1,34.2,60.3,"28,251",11.5,15%,,2013,Europe
83,83,University of Amsterdam,Netherlands,45.6,57,61.3,75.1,49,60.1,"24,570",14.4,11%,53:47:00,2013,Europe
84,84,University of Montreal,Canada,54,74.6,57.9,60.9,95,59.8,"38,264",20.3,25%,57:43:00,2013,North America
85,85,University of New South Wales,Australia,52.6,84.8,63.8,56.7,50.5,59.6,"38,309",25.9,33%,47:53:00,2013,Oceania
86,86,Nanyang Technological University,Singapore,45.7,90.5,66.9,54.5,99.5,59.4,"25,028",16.2,33%,48:52:00,2013,Asia
87,87,Tufts University,United States of America,52.6,39.6,36.4,94.8,39.4,59.1,"10,410",10,14%,54:46:00,2013,North America
88,88,McMaster University,Canada,42.3,66.9,47.9,81.7,98,59,"23,823",19.3,15%,53:47:00,2013,North America
89,89,University of Groningen,Netherlands,43.8,49.8,61,71.6,85.2,58.8,"24,556",25.6,12%,52:48:00,2013,Europe
89,90,University of Zurich,Switzerland,50,84.1,41.6,80,38.3,58.8,"26,583",6.5,19%,57:43:00,2013,Europe
91,91,University of Colorado Boulder,United States of America,42.3,34.7,44.4,97.1,-,58.7,"29,325",16.1,8%,45:55:00,2013,North America
92,92,Paris-Sud University,France,48,63.9,45.9,82.9,28.4,58.6,"27,603",15,17%,,2013,Europe
93,93,Ghent University,Belgium,46.4,49.1,56.7,71.3,95.9,58.4,"32,166",34.1,9%,57:43:00,2013,Europe
94,94,Michigan State University,United States of America,51.8,36.8,56.8,73.8,32.6,58.3,"44,750",15.7,15%,51:49:00,2013,North America
94,95,University of Notre Dame,United States of America,48.3,41.6,39.6,93.5,29.8,58.3,"11,829",13.8,10%,44:56:00,2013,North America
96,96,"University of California, Irvine",United States of America,44,35.2,47.2,90.3,42.1,58.2,"26,614",16.1,16%,52:48:00,2013,North America
97,97,"University of Maryland, College Park",United States of America,44.9,40.4,51.4,83.9,32.1,57.9,"31,331",8.4,9%,48:52:00,2013,North America
98,98,University of Arizona,United States of America,47,31.3,53.7,76.9,83.9,57.7,"36,429",12.7,8%,52:48:00,2013,North America
99,99,Humboldt University of Berlin,Germany,55.4,57.5,58.7,59.5,-,57.5,"29,987",52.5,16%,,2013,Europe
99,100,Monash University,Australia,47.8,66.4,60.6,60.9,70,57.5,"50,882",40.5,36%,56:44:00,2013,Oceania
99,101,"Rutgers, the State University of New Jersey",United States of America,50.9,27.9,61.3,69.5,35.8,57.5,"37,032",17.3,8%,51:49:00,2013,North America
102,102,University of Rochester,United States of America,46,45.9,37.8,92.3,39.6,57.2,"9,390",4.5,26%,49:51:00,2013,North America
103,103,University of York,United Kingdom,41.9,71.9,43.9,83.4,38.4,57.1,,,,,2013,Europe
104,104,Case Western Reserve University,United States of America,56.5,34.2,42,80.4,-,56.9,"9,259",6.4,17%,48:52:00,2013,North America
105,105,Technical University of Munich,Germany,51.2,61.5,42.4,76.5,49.7,56.8,"35,565",31.5,20%,33 : 67,2013,Europe
106,106,Uppsala University,Sweden,48.6,56.3,63.9,58.2,44.1,56.6,"25,266",18.2,12%,57:43:00,2013,Europe
106,107,Vanderbilt University,United States of America,51.5,27.5,40.9,85,53,56.6,"12,161",3.6,10%,52:48:00,2013,North America
108,108,University of St Andrews,United Kingdom,43.2,86.3,43.8,76.6,38.9,56.5,"8,338",12.7,47%,56:44:00,2013,Europe
109,109,University of Helsinki,Finland,42.8,48.3,53,77.7,31.1,56.4,"23,505",15.1,6%,66:34:00,2013,Europe
110,110,Trinity College Dublin,Republic of Ireland,41.9,84.5,33.5,88.1,32.8,56.2,"15,521",18,25%,57:43:00,2013,Europe
110,111,University of Sheffield,United Kingdom,49.5,68.1,46.2,71,41.5,56.2,"23,311",15.5,31%,50:50:00,2013,Europe
110,112,University of Sussex,United Kingdom,34.9,76.7,39.5,91.1,32.1,56.2,"12,001",17.4,35%,54:46:00,2013,Europe
113,113,University of Cape Town,South Africa,34.7,75.1,45.5,79.7,87.3,55.8,"20,040",12.1,18%,53:47:00,2013,Africa
114,114,Eindhoven University of Technology,Netherlands,44.1,69.8,51.8,63.8,100,55.6,"8,176",16,14%,0.847916667,2013,Europe
115,115,Maastricht University,Netherlands,39.7,85.2,53.2,62.5,99.1,55.5,"15,626",18.9,48%,56:44:00,2013,Europe
116,116,Aarhus University,Denmark,35.7,66.4,54.6,71.6,69.7,55.3,"23,895",13.6,14%,54:46:00,2013,Europe
117,117,Stockholm University,Sweden,31.3,52.2,43.8,93,32,55.2,"31,715",23.7,8%,62:38:00,2013,Europe
118,118,University of Virginia,United States of America,55.9,27.9,43,73.5,48.6,55,"23,845",10.2,12%,52:48:00,2013,North America
119,119,"Royal Holloway, University of London",United Kingdom,30.5,92.5,27.7,99,31.9,54.9,"8,747",15.9,37%,57:43:00,2013,Europe
120,120,University of Nottingham,United Kingdom,48.1,70.1,50.8,62.8,38.3,54.8,"30,144",15,27%,54:46:00,2013,Europe
121,121,University of Alberta,Canada,50.9,67.6,53.9,56.6,50.6,54.7,"36,299",21.6,23%,55:45:00,2013,North America
122,122,"University of California, Santa Cruz",United States of America,32.1,32.5,39.6,99.9,-,54.5,"17,404",22.7,1%,53:47:00,2013,North America
122,123,University of Florida,United States of America,52,31.2,62.9,56,-,54.5,"50,095",18.7,9%,54:46:00,2013,North America
124,124,Chinese University of Hong Kong,Hong Kong,53.7,62.6,63.1,45.1,44.5,54.4,"17,916",10.2,22%,53:47:00,2013,Asia
124,125,Dartmouth College,United States of America,47.5,31.5,35.9,87,38.6,54.4,"6,178",6.6,16%,47:53:00,2013,North America
124,126,University of Warwick,United Kingdom,48.9,80.9,50.5,58.8,35.3,54.4,"18,529",16.6,37%,48:52:00,2013,Europe
127,127,Radboud University Nijmegen,Netherlands,35.7,53.4,54.3,73.3,41.7,54,"17,713",13,10%,58:42:00,2013,Europe
128,128,Free University of Berlin,Germany,53.1,60.9,56.5,51.5,32.8,53.7,"33,062",39.3,20%,58:42:00,2013,Europe
128,129,Tokyo Institute of Technology,Japan,58,29.6,56.1,52,65.3,53.7,"9,586",7.3,13%,0.602083333,2013,Asia
130,130,University of Copenhagen,Denmark,42.2,73.5,40.4,74.3,39.7,53.6,"27,545",4.1,19%,67:33:00,2013,Europe
130,131,University of Lausanne,Switzerland,33,82.7,44.8,76.2,45.8,53.6,"11,964",13.1,22%,,2013,Europe
130,132,University of Southampton,United Kingdom,37.9,77.4,38.9,79.2,41.8,53.6,"20,925",13.5,29%,53:47:00,2013,Europe
133,133,University of Geneva,Switzerland,36.2,95.3,42.5,73.1,32.4,53.5,"15,668",15,39%,61:39:00,2013,Europe
134,134,Indiana University,United States of America,48.3,36,44.2,72.5,-,53.2,"62,468",13.6,13%,53:47:00,2013,North America
134,135,National Taiwan University,Taiwan,56.4,24.6,65.7,45.5,44,53.2,"31,891",11.9,7%,39 : 61,2013,Asia
134,136,University of Utah,United States of America,43.3,25.2,41.3,81,63.3,53.2,"25,674",16.9,9%,45:55:00,2013,North America
137,137,Hebrew University of Jerusalem,Israel,48.8,50.3,55.8,57,33.6,53.1,"17,612",10.7,5%,55:45:00,2013,Asia
137,138,Tohoku University,Japan,57.7,32,55.6,48.9,80.7,53.1,"17,200",5,7%,25 : 75,2013,Asia
139,139,University of Glasgow,United Kingdom,37.3,69.7,40.2,78.1,44.1,53,"22,616",16,29%,57:43:00,2013,Europe
140,140,KTH Royal Institute of Technology,Sweden,47.5,86.1,49.7,49.1,100,52.9,"12,062",14.6,21%,30 : 70,2013,Europe
140,141,VU University Amsterdam,Netherlands,40.5,47.1,45.1,74.2,58.5,52.9,"23,280",16.3,6%,56:44:00,2013,Europe
142,142,University of Basel,Switzerland,37.1,89.8,23.2,87.8,64.2,52.8,"12,551",17.3,24%,54:46:00,2013,Europe
142,143,University of Leeds,United Kingdom,41.5,66.6,48.6,65.8,41.3,52.8,"27,703",14.7,21%,58:42:00,2013,Europe
144,144,University of Freiburg,Germany,48.3,54.9,33,72.4,81.1,52.3,"26,467",31.2,16%,52:48:00,2013,Europe
145,145,Lancaster University,United Kingdom,37.7,76.2,40.9,73.2,31.8,52.1,"11,512",14.9,33%,52:48:00,2013,Europe
145,146,Queen Mary University of London,United Kingdom,33.1,87,30,85.4,42.7,52.1,"14,260",14,40%,52:48:00,2013,Europe
147,147,Osaka University,Japan,59.5,23.6,55.7,46.4,69.6,52,"23,144",7.8,9%,31 : 69,2013,Asia
148,148,Arizona State University,United States of America,38.4,27.4,45.2,79.9,31.8,51.9,"83,236",29.9,9%,50:50:00,2013,North America
149,149,Technical University of Denmark,Denmark,37.9,77,30,76.9,98.7,51.7,"9,990",5,18%,27 : 73,2013,Europe
150,150,Boston College,United States of America,34.5,52.4,33.2,88.7,-,51.6,"13,216",17.4,19%,54:46:00,2013,North America
151,151,Karlsruhe Institute of Technology,Germany,46.3,64.5,38.9,63.4,82.9,51.5,"25,294",24.6,16%,26 : 74,2013,Europe
151,152,University of Bern,Switzerland,43,77.3,36,69.7,42,51.5,"14,708",22.5,14%,54:46:00,2013,Europe
153,153,University of Exeter,United Kingdom,33.2,74.1,38.1,78.1,37.1,51.3,"17,755",18.8,28%,54:46:00,2013,Europe
154,154,RWTH Aachen University,Germany,45.3,53.9,32.4,73.8,63.1,51.1,"37,917",27.6,16%,31 : 69,2013,Europe
154,155,"University of California, Riverside",United States of America,29.1,62.8,32.5,90.3,33.5,51.1,"20,626",22,12%,51:49:00,2013,North America
156,156,Texas A&M University,United States of America,46.4,47.2,58.3,49.3,45.5,50.9,"50,657",21.4,9%,47:53:00,2013,North America
156,157,Yeshiva University,United States of America,51.7,28.4,30.1,78.8,-,50.9,"6,753",5.5,7%,53:47:00,2013,North America
158,158,Tel Aviv University,Israel,50.7,39.5,59.8,43.7,49.2,50.5,"23,977",24.4,4%,,2013,Asia
158,159,University of Birmingham,United Kingdom,44.8,69.7,46.7,56.3,38.4,50.5,"25,295",16.4,23%,54:46:00,2013,Europe
158,160,University of SÃ£o Paulo,Brazil,63,24.5,65.7,30.2,40,50.5,"81,402",14.6,4%,48:52:00,2013,South America
161,161,University of Auckland,New Zealand,34,88,40.9,64.2,76.6,50.3,"29,787",18.9,28%,54:46:00,2013,Oceania
162,162,Stony Brook University,United States of America,38.8,52.8,29.9,82.9,31.6,50.2,"21,908",10.9,24%,50:50:00,2013,North America
162,163,University of Vienna,Austria,44.3,86.3,46.7,52.4,29.1,50.2,"34,651",20.5,25%,67:33:00,2013,Europe
164,164,UniversitÃ© Catholique de Louvain,Belgium,38.6,64.3,40.5,68.8,34.5,50,"28,856",42,19%,54:46:00,2013,Europe
165,165,University of Delaware,United States of America,30,37.3,41.6,76.6,97.7,49.7,"19,262",15.9,10%,56:44:00,2013,North America
166,166,Paris Diderot University â€“ Paris 7,France,31.9,66.8,27.1,87.9,-,49.6,"27,756",14.8,17%,63:37:00,2013,Europe
167,167,University of Texas at Dallas,United States of America,32.6,46.8,32.2,85.2,40,49.5,"16,306",22.8,23%,44:56:00,2013,North America
168,168,George Washington University,United States of America,48.1,36.6,28,77.1,30,49.4,"20,541",12,16%,56:44:00,2013,North America
169,169,University of Iowa,United States of America,49,26.4,40.9,65.7,-,49.3,"27,526",11.6,11%,52:48:00,2013,North America
170,170,Ã‰cole Normale SupÃ©rieure de Lyon,France,40.8,61,25.9,79.6,28.9,49.2,"2,218",8,14%,49:51:00,2013,Europe
171,171,University of Bonn,Germany,40.9,54,26.1,80.4,-,49,"32,474",70.4,13%,55:45:00,2013,Europe
171,172,University of Liverpool,United Kingdom,38.7,73.7,37.5,64.8,46.4,49,"18,815",13.6,30%,52:48:00,2013,Europe
171,173,University of Ottawa,Canada,40.8,58.1,41.4,63.1,43,49,"36,733",26.3,15%,60:40:00,2013,North America
174,174,Georgetown University,United States of America,56.4,32.9,35.6,59.8,-,48.9,"15,408",8.5,14%,53:47:00,2013,North America
174,175,Rensselaer Polytechnic Institute,United States of America,36.2,32.9,40.2,73,66.8,48.9,"6,671",15,16%,30 : 70,2013,North America
176,176,University of Aberdeen,United Kingdom,31.9,84.1,34.3,71.5,48.9,48.8,"12,938",15.8,33%,54:46:00,2013,Europe
176,177,University of Adelaide,Australia,37.3,82.2,43.7,55.9,63.2,48.8,"20,771",30.1,26%,48:52:00,2013,Oceania
176,178,University of East Anglia,United Kingdom,29.6,68.9,27.7,85.5,30.7,48.8,"14,992",14.7,28%,58:42:00,2013,Europe
176,179,University of Reading,United Kingdom,39.3,72.4,41.1,61.3,35.2,48.8,"12,050",14.8,28%,55:45:00,2013,Europe
180,180,Joseph Fourier University,France,36.6,56.3,26.5,81.8,36.3,48.6,"16,130",12.1,13%,,2013,Europe
180,181,Newcastle University,United Kingdom,37.9,74.4,30.5,72.1,37.4,48.6,"20,174",15.2,29%,50:50:00,2013,Europe
182,182,City University of Hong Kong,Hong Kong,35.2,64,41.8,64.1,53.6,48.5,"10,015",7.1,28%,51:49:00,2013,Asia
183,183,Yonsei University,South Korea,48.3,33.4,50.6,48.6,56.1,48.2,"24,774",11.6,14%,,2013,Asia
184,184,Colorado School of Mines,United States of America,24.9,51.2,22.5,94.3,66,48,"5,287",18.2,12%,26 : 74,2013,North America
184,185,University of Illinois at Chicago,United States of America,53.9,29.1,42.6,52.9,40.4,48,"24,313",9.2,17%,53:47:00,2013,North America
184,186,William & Mary,United States of America,41.3,25.8,22.6,87.1,29.9,48,"7,867",11.8,7%,54:46:00,2013,North America
187,187,University College Dublin,Republic of Ireland,31.1,76.5,31.8,74.9,35.3,47.9,"22,193",24.5,23%,,2013,Europe
187,188,University of Twente,Netherlands,35.8,61.5,46.4,55.6,79.7,47.9,"6,631",12,26%,37 : 63,2013,Europe
189,189,Medical University of South Carolina,United States of America,46.2,27.7,39.6,59.7,77.1,47.7,,,,,2013,North America
190,190,University of Western Australia,Australia,35,88.4,39.9,55.7,60,47.3,"20,851",20.7,27%,50:50:00,2013,Oceania
190,191,Wake Forest University,United States of America,37.5,19,22.4,89.1,48,47.3,"7,326",4.6,5%,51:49:00,2013,North America
192,192,University of Antwerp,Belgium,33.8,58.5,35.5,64.8,100,47.1,"12,346",30.3,16%,56:44:00,2013,Europe
193,193,Iowa State University,United States of America,35.7,30.5,34.3,74.9,44,46.9,"29,991",17.4,11%,44:56:00,2013,North America
193,194,Technion Israel Institute of Technology,Israel,44.8,55.9,50.2,44,40.8,46.9,"13,855",19.4,4%,35 : 65,2013,Asia
193,195,University of Miami,United States of America,48.7,33.1,27,69.7,-,46.9,"15,286",5.7,14%,50:50:00,2013,North America
196,196,University of Leicester,United Kingdom,33,83.7,32.5,66.5,34.9,46.7,"14,541",13.4,35%,54:46:00,2013,Europe
196,197,University of Victoria,Canada,20.2,65.9,33.7,82.7,30.6,46.7,"17,581",21.5,11%,56:44:00,2013,North America
198,198,University at Buffalo,United States of America,46.3,50.7,40.6,52.1,42.4,46.6,"25,668",19,19%,47:53:00,2013,North America
199,199,Goethe University Frankfurt,Germany,33.3,57.6,29.7,73.9,41.4,46.4,"31,861",9.3,15%,60:40:00,2013,Europe
200,200,"Birkbeck, University of London",United Kingdom,27.6,83.2,30.5,72.8,29.4,46.2,"9,454",17.2,38%,55:45:00,2013,Europe
201-225,201,Autonomous University of Barcelona,Spain,39,47.1,35.7,62.8,37.3,-,"30,538",12.3,10%,59:41:00,2013,Europe
201-225,202,Brandeis University,United States of America,27.3,45.3,27.9,83.1,37.4,-,"5,495",12.6,22%,55:45:00,2013,North America
201-225,203,Cardiff University,United Kingdom,32.5,68.1,38.2,60.2,39.8,-,"23,347",13.1,23%,57:43:00,2013,Europe
201-225,204,Fudan University,China,45.3,38.6,39.5,51.3,46.3,-,"32,175",12.2,11%,50:50:00,2013,Asia
201-225,205,Johannes Gutenberg University of Mainz,Germany,33.5,57,18.4,85.2,-,-,"35,609",32.6,10%,58:42:00,2013,Europe
201-225,206,Lomonosov Moscow State University,Russian Federation,63.5,50.3,48.1,19.7,70.1,-,"30,822",7.7,20%,43:57:00,2013,Europe
201-225,207,Middle East Technical University,Turkey,50.8,28,46,44.6,50.6,-,"25,779",22.2,7%,44:56:00,2013,Europe
201-225,208,Nagoya University,Japan,44.2,25.3,39.2,53.3,35.5,-,"15,529",7.9,10%,29 : 71,2013,Asia
201-225,209,Northeastern University,United States of America,40.1,41,21.2,76.4,33.8,-,"18,539",15.1,26%,50:50:00,2013,North America
201-225,210,Pompeu Fabra University,Spain,27.3,49.9,23.2,77.5,34.2,-,"10,901",18.3,13%,59:41:00,2013,Europe
201-225,211,Queenâ€™s University,Canada,39.5,58,35.4,51.2,77.3,-,"20,488",22.1,10%,58:42:00,2013,North America
201-225,212,"St Georgeâ€™s, University of London",United Kingdom,20,57.9,22.6,89.7,44.1,-,"2,958",13.4,17%,61:39:00,2013,Europe
201-225,213,Sungkyunkwan University (SKKU),South Korea,47.1,30.9,48.7,39.3,98.7,-,"24,365",20.3,9%,39 : 61,2013,Asia
201-225,214,Tilburg University,Netherlands,38.2,56.6,54.5,33.7,54.8,-,"7,576",22.4,10%,49:51:00,2013,Europe
201-225,215,University of Barcelona,Spain,32.5,46,33.4,71.4,30.9,-,"47,491",12.2,10%,62:38:00,2013,Europe
201-225,216,University of Dundee,United Kingdom,24.8,66.6,23.2,81.1,49.9,-,"11,628",15.3,25%,60:40:00,2013,Europe
201-225,217,University of Erlangen-Nuremberg,Germany,35,49,18.7,74.6,45.2,-,"36,146",53.9,9%,49:51:00,2013,Europe
201-225,218,University of Georgia,United States of America,45.4,36.2,40.1,46.8,31.3,-,"33,119",19.9,7%,57:43:00,2013,North America
201-225,219,University of Gothenburg,Sweden,28.3,48.4,41.9,63.8,38.6,-,"26,420",16.4,12%,,2013,Europe
201-225,220,University of Innsbruck,Austria,36.6,88.7,17.9,71.6,38.2,-,"18,209",16.9,39%,54:46:00,2013,Europe
201-225,221,University of Konstanz,Germany,32.6,58.5,35.6,64.5,51.9,-,"10,930",59.1,12%,54:46:00,2013,Europe
